,year,country_id,country_txt_wb,country_txt_gtd,country_code,region,region_txt,arrivals,population,tourism_rank_2012,tourism_group,incident_id,nkill,nkillus,nkillte,nwound,nwoundus,nwoundte,nvictim,nvictimus,nvictimte,event_ct_total
101,2012,97,Israel,Israel,ISR,10.0,Middle East & North Africa,2886000,7910500,60,,201211180029.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,1
102,2012,97,Israel,Israel,ISR,10.0,Middle East & North Africa,2886000,7910500,60,,201211180033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
103,2012,97,Israel,Israel,ISR,10.0,Middle East & North Africa,2886000,7910500,60,,201211180031.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
104,2012,97,Israel,Israel,ISR,10.0,Middle East & North Africa,2886000,7910500,60,,201211190021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
105,2012,97,Israel,Israel,ISR,10.0,Middle East & North Africa,2886000,7910500,60,,201211190018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
106,2012,97,Israel,Israel,ISR,10.0,Middle East & North Africa,2886000,7910500,60,,201211200035.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,1
107,2012,97,Israel,Israel,ISR,10.0,Middle East & North Africa,2886000,7910500,60,,201211200036.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
108,2012,167,Russian Federation,Russia,RUS,9.0,Eastern Europe,28177000,143201721,9,high,201211210012.0,3.0,0.0,0.0,5.0,0.0,0.0,8.0,0.0,0.0,2
109,2012,205,Thailand,Thailand,THA,5.0,Southeast Asia,22354000,67835957,15,,201212060018.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2
110,2012,69,France,France,FRA,8.0,Western Europe,81980000,65659809,1,high,201212080007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
111,2013,43,Chile,Chile,CHL,3.0,South America,3576000,17571507,56,,201301050021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
112,2013,43,Chile,Chile,CHL,3.0,South America,3576000,17571507,56,,201301050022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
