year_gtd,country_gtd,incident_ct_total,nkill_total,nkillus_total,nkillter_total,nwound_total,nwoundus_total,nwoundte_total
2016,110,5,13.0,0.0,8.0,39.0,0.0,0.0
2016,113,35,50.0,0.0,13.0,108.0,0.0,0.0
2016,121,3,0.0,0.0,0.0,0.0,0.0,0.0
2016,123,10,15.0,0.0,0.0,30.0,0.0,0.0
2016,137,4,0.0,0.0,0.0,2.0,0.0,0.0
2016,138,13,25.0,0.0,7.0,37.0,0.0,0.0
2016,141,12,0.0,0.0,0.0,0.0,0.0,0.0
2016,146,2,1.0,0.0,0.0,0.0,0.0,0.0
2016,147,165,855.0,0.0,25.0,82.0,0.0,0.0
2016,153,30,126.0,0.0,3.0,191.0,0.0,1.0
2016,155,7,2.0,0.0,2.0,5.0,0.0,0.0
2016,160,37,10.0,0.0,2.0,20.0,0.0,0.0
2016,167,5,5.0,0.0,1.0,5.0,0.0,0.0
2016,173,6,8.0,0.0,3.0,15.0,0.0,0.0
2016,182,36,210.0,0.0,42.0,276.0,0.0,0.0
2016,195,17,20.0,0.0,0.0,12.0,0.0,0.0
2016,198,1,0.0,0.0,0.0,0.0,0.0,0.0
2016,200,77,896.0,0.0,75.0,1882.0,0.0,0.0
2016,205,65,21.0,0.0,0.0,120.0,0.0,1.0
2016,208,1,18.0,0.0,12.0,6.0,0.0,0.0
2016,209,40,143.0,0.0,3.0,292.0,0.0,0.0
2016,214,2,0.0,0.0,0.0,0.0,0.0,0.0
2016,217,10,0.0,0.0,0.0,29.0,29.0,0.0
2016,228,43,190.0,0.0,12.0,253.0,0.0,1.0
2016,229,37,197.0,0.0,34.0,79.0,0.0,0.0
2016,603,2,0.0,0.0,0.0,0.0,0.0,0.0
2016,1004,2,14.0,0.0,0.0,9.0,0.0,0.0
2017,4,128,689.0,0.0,411.0,679.0,0.0,234.0
2017,19,4,8.0,0.0,0.0,38.0,0.0,0.0
2017,33,10,12.0,0.0,0.0,3.0,0.0,0.0
2017,34,1,3.0,0.0,0.0,27.0,0.0,0.0
2017,37,8,8.0,0.0,4.0,0.0,0.0,0.0
2017,38,1,0.0,0.0,0.0,5.0,0.0,0.0
2017,41,4,50.0,0.0,0.0,26.0,0.0,0.0
2017,43,2,0.0,0.0,0.0,1.0,0.0,0.0
2017,44,2,0.0,0.0,0.0,6.0,0.0,0.0
2017,45,6,0.0,0.0,0.0,2.0,0.0,0.0
2017,60,20,149.0,1.0,16.0,210.0,0.0,4.0
2017,69,4,0.0,0.0,0.0,5.0,0.0,0.0
2017,72,1,0.0,0.0,0.0,0.0,0.0,0.0
